date,cumPeopleReceivingFirstDose,cumPeopleReceivingSecondDose,booster
09/09/2020,0,0,0
10/09/2020,0,0,0
11/09/2020,0,0,0
12/09/2020,0,0,0
13/09/2020,0,0,0
14/09/2020,0,0,0
15/09/2020,0,0,0
16/09/2020,0,0,0
17/09/2020,0,0,0
18/09/2020,0,0,0
19/09/2020,0,0,0
20/09/2020,0,0,0
21/09/2020,0,0,0
22/09/2020,0,0,0
23/09/2020,0,0,0
24/09/2020,0,0,0
25/09/2020,0,0,0
26/09/2020,0,0,0
27/09/2020,0,0,0
28/09/2020,0,0,0
29/09/2020,0,0,0
30/09/2020,0,0,0
01/10/2020,0,0,0
02/10/2020,0,0,0
03/10/2020,0,0,0
04/10/2020,0,0,0
05/10/2020,0,0,0
06/10/2020,0,0,0
07/10/2020,0,0,0
08/10/2020,0,0,0
09/10/2020,0,0,0
10/10/2020,0,0,0
11/10/2020,0,0,0
12/10/2020,0,0,0
13/10/2020,0,0,0
14/10/2020,0,0,0
15/10/2020,0,0,0
16/10/2020,0,0,0
17/10/2020,0,0,0
18/10/2020,0,0,0
19/10/2020,0,0,0
20/10/2020,0,0,0
21/10/2020,0,0,0
22/10/2020,0,0,0
23/10/2020,0,0,0
24/10/2020,0,0,0
25/10/2020,0,0,0
26/10/2020,0,0,0
27/10/2020,0,0,0
28/10/2020,0,0,0
29/10/2020,0,0,0
30/10/2020,0,0,0
31/10/2020,0,0,0
01/11/2020,0,0,0
02/11/2020,0,0,0
03/11/2020,0,0,0
04/11/2020,0,0,0
05/11/2020,0,0,0
06/11/2020,0,0,0
07/11/2020,0,0,0
08/11/2020,0,0,0
09/11/2020,0,0,0
10/11/2020,0,0,0
11/11/2020,0,0,0
12/11/2020,0,0,0
13/11/2020,0,0,0
14/11/2020,0,0,0
15/11/2020,0,0,0
16/11/2020,0,0,0
17/11/2020,0,0,0
18/11/2020,0,0,0
19/11/2020,0,0,0
20/11/2020,0,0,0
21/11/2020,0,0,0
22/11/2020,0,0,0
23/11/2020,0,0,0
24/11/2020,0,0,0
25/11/2020,0,0,0
26/11/2020,0,0,0
27/11/2020,0,0,0
28/11/2020,0,0,0
29/11/2020,0,0,0
30/11/2020,0,0,0
01/12/2020,0,0,0
02/12/2020,0,0,0
03/12/2020,0,0,0
04/12/2020,0,0,0
05/12/2020,0,0,0
06/12/2020,0,0,0
07/12/2020,0,0,0
08/12/2020,0,0,0
09/12/2020,0,0,0
10/12/2020,0,0,0
11/12/2020,0,0,0
12/12/2020,0,0,0
13/12/2020,8177,0,0
14/12/2020,8177,0,0
15/12/2020,8177,0,0
16/12/2020,8177,0,0
17/12/2020,8177,0,0
18/12/2020,8177,0,0
19/12/2020,8177,0,0
20/12/2020,23461,0,0
21/12/2020,23461,0,0
22/12/2020,23461,0,0
23/12/2020,23461,0,0
24/12/2020,23461,0,0
25/12/2020,23461,0,0
26/12/2020,23461,0,0
27/12/2020,35543,0,0
28/12/2020,35543,0,0
29/12/2020,35543,0,0
30/12/2020,35543,0,0
31/12/2020,35543,0,0
01/01/2021,35543,0,0
02/01/2021,35543,0,0
03/01/2021,49403,0,0
04/01/2021,49403,0,0
05/01/2021,49403,0,0
06/01/2021,49403,0,0
07/01/2021,49403,0,0
08/01/2021,49403,0,0
09/01/2021,49403,0,0
10/01/2021,86039,0,0
11/01/2021,91239,0,0
12/01/2021,91239,0,0
13/01/2021,101371,0,0
14/01/2021,112973,0,0
15/01/2021,126375,0,0
16/01/2021,126375,0,0
17/01/2021,126375,0,0
18/01/2021,151737,0,0
19/01/2021,161932,265,0
20/01/2021,175816,370,0
21/01/2021,190435,396,0
22/01/2021,212317,415,0
23/01/2021,240547,469,0
24/01/2021,264538,516,0
25/01/2021,270833,543,0
26/01/2021,289566,581,0
27/01/2021,312305,639,0
28/01/2021,336071,674,0
29/01/2021,362253,717,0
30/01/2021,378200,750,0
31/01/2021,403463,786,0
01/02/2021,416306,841,0
02/02/2021,439640,1066,0
03/02/2021,462497,1160,0
04/02/2021,490570,1216,0
05/02/2021,523042,1635,0
06/02/2021,556997,2471,0
07/02/2021,589622,2606,0
08/02/2021,603976,2792,0
09/02/2021,628760,3491,0
10/02/2021,655419,3687,0
11/02/2021,684097,3795,0
12/02/2021,715944,4010,0
13/02/2021,749445,4224,0
14/02/2021,771651,4573,0
15/02/2021,784809,5402,0
16/02/2021,795927,7251,0
17/02/2021,807351,12988,0
18/02/2021,822633,19342,0
19/02/2021,839065,25433,0
20/02/2021,853905,32002,0
21/02/2021,860083,37773,0
22/02/2021,862248,42752,0
23/02/2021,869653,49729,0
24/02/2021,878506,59279,0
25/02/2021,889270,69851,0
26/02/2021,902334,80062,0
27/02/2021,916336,89053,0
28/02/2021,923615,96408,0
01/03/2021,925669,103819,0
02/03/2021,933485,111716,0
03/03/2021,942017,124781,0
04/03/2021,951540,139445,0
05/03/2021,967042,154819,0
06/03/2021,983419,168163,0
07/03/2021,995059,176054,0
08/03/2021,998296,183739,0
09/03/2021,1007391,192030,0
10/03/2021,1019210,206394,0
11/03/2021,1034141,221902,0
12/03/2021,1056787,237357,0
13/03/2021,1084329,250026,0
14/03/2021,1113498,257398,0
15/03/2021,1122931,264255,0
16/03/2021,1139866,272983,0
17/03/2021,1157251,289185,0
18/03/2021,1180155,304411,0
19/03/2021,1204101,318976,0
20/03/2021,1231830,329530,0
21/03/2021,1259769,338959,0
22/03/2021,1273186,346058,0
23/03/2021,1288250,353347,0
24/03/2021,1302974,366803,0
25/03/2021,1320188,378795,0
26/03/2021,1341620,389663,0
27/03/2021,1365355,400743,0
28/03/2021,1387583,412663,0
29/03/2021,1400750,416862,0
30/03/2021,1413710,424016,0
31/03/2021,1427183,437937,0
01/04/2021,1443885,449538,0
02/04/2021,1443885,449538,0
03/04/2021,1472643,463445,0
04/04/2021,1472643,463445,0
05/04/2021,1490372,467683,0
06/04/2021,1493192,469251,0
07/04/2021,1502641,475570,0
08/04/2021,1519760,484739,0
09/04/2021,1537122,498318,0
10/04/2021,1556316,509478,0
11/04/2021,1572752,525177,0
12/04/2021,1587851,528199,0
13/04/2021,1602939,537195,0
14/04/2021,1621282,549193,0
15/04/2021,1640045,559888,0
16/04/2021,1657028,574590,0
17/04/2021,1657028,574590,0
18/04/2021,1685298,601458,0
19/04/2021,1692463,602807,0
20/04/2021,1699092,610882,0
21/04/2021,1712372,622513,0
22/04/2021,1727455,635655,0
23/04/2021,1742273,653537,0
24/04/2021,1742273,653537,0
25/04/2021,1768585,687049,0
26/04/2021,1777375,689534,0
27/04/2021,1785347,701099,0
28/04/2021,1800428,715425,0
29/04/2021,1816451,732643,0
30/04/2021,1830964,748700,0
01/05/2021,1830964,748700,0
02/05/2021,1854687,769719,0
03/05/2021,1854687,769719,0
04/05/2021,1864400,772537,0
05/05/2021,1873152,783120,0
06/05/2021,1884372,798925,0
07/05/2021,1895998,815043,0
08/05/2021,1895998,815043,0
09/05/2021,1922881,842047,0
10/05/2021,1935003,846180,0
11/05/2021,1948683,854441,0
12/05/2021,1961670,863469,0
13/05/2021,1975820,877756,0
14/05/2021,1990783,891569,0
15/05/2021,1990783,891569,0
16/05/2021,2019160,915674,0
17/05/2021,2027803,917431,0
18/05/2021,2035905,927215,0
19/05/2021,2046011,939072,0
20/05/2021,2058106,952468,0
21/05/2021,2069689,969682,0
22/05/2021,2069689,969682,0
23/05/2021,2091824,1000706,0
24/05/2021,2099263,1003682,0
25/05/2021,2105319,1019230,0
26/05/2021,2112647,1037749,0
27/05/2021,2120049,1058464,0
28/05/2021,2128063,1081162,0
29/05/2021,2128063,1081162,0
30/05/2021,2128063,1081162,0
31/05/2021,2128063,1081162,0
01/06/2021,2147274,1118396,0
02/06/2021,2152709,1138112,0
03/06/2021,2161028,1157904,0
04/06/2021,2169624,1181259,0
05/06/2021,2169624,1181259,0
06/06/2021,2179830,1237123,0
07/06/2021,2183455,1249268,0
08/06/2021,2185427,1270606,0
09/06/2021,2190460,1291699,0
10/06/2021,2195485,1314368,0
11/06/2021,2201665,1336479,0
12/06/2021,2201665,1336479,0
13/06/2021,2213050,1378010,0
14/06/2021,2215031,1384673,0
15/06/2021,2218103,1410924,0
16/06/2021,2222281,1432201,0
17/06/2021,2225499,1454064,0
18/06/2021,2228532,1473927,0
19/06/2021,2228532,1473927,0
20/06/2021,2236091,1509144,0
21/06/2021,2237710,1517604,0
22/06/2021,2239271,1534373,0
23/06/2021,2242482,1553091,0
24/06/2021,2245884,1571710,0
25/06/2021,2248012,1591322,0
26/06/2021,2248012,1591322,0
27/06/2021,2252270,1618476,0
28/06/2021,2253214,1627242,0
29/06/2021,2255039,1642788,0
30/06/2021,2257737,1659754,0
01/07/2021,2259622,1677738,0
02/07/2021,2261056,1695819,0
03/07/2021,2261056,1695819,0
04/07/2021,2263775,1723824,0
05/07/2021,2264974,1730632,0
06/07/2021,2266056,1746136,0
07/07/2021,2267640,1764640,0
08/07/2021,2269131,1783079,0
09/07/2021,2270517,1798260,0
10/07/2021,2270517,1798260,0
11/07/2021,2273561,1825167,0
12/07/2021,2274421,1832550,0
13/07/2021,2275764,1846043,0
14/07/2021,2277055,1861700,0
15/07/2021,2278204,1876709,0
16/07/2021,2279139,1892082,0
17/07/2021,2279139,1892082,0
18/07/2021,2281644,1918345,0
19/07/2021,2282410,1925084,0
20/07/2021,2282992,1933664,0
21/07/2021,2284065,1946526,0
22/07/2021,2285118,1959641,0
23/07/2021,2285118,1959641,0
24/07/2021,2288219,1993816,0
25/07/2021,2288219,1993816,0
26/07/2021,2289142,2002162,0
27/07/2021,2290213,2003128,0
28/07/2021,2291418,2023733,0
29/07/2021,2292572,2036670,0
30/07/2021,2293927,2047616,0
31/07/2021,2293927,2047616,0
01/08/2021,2295923,2062402,0
02/08/2021,2296517,2066442,0
03/08/2021,2297398,2073996,0
04/08/2021,2298387,2083343,0
05/08/2021,2299204,2092103,0
06/08/2021,2300137,2099624,0
07/08/2021,2300137,2099624,0
08/08/2021,2302997,2111288,0
09/08/2021,2304271,2115477,0
10/08/2021,2305562,2118707,0
11/08/2021,2305562,2118707,0
12/08/2021,2309415,2127921,0
13/08/2021,2310898,2132116,0
14/08/2021,2310898,2132116,0
15/08/2021,2313528,2141039,0
16/08/2021,2314713,2144119,0
17/08/2021,2316668,2146391,0
18/08/2021,2320165,2150141,0
19/08/2021,2323425,2153517,0
20/08/2021,2327180,2156653,0
21/08/2021,2327180,2156653,0
22/08/2021,2327180,2156653,0
23/08/2021,2335573,2165119,0
24/08/2021,2339253,2166569,0
25/08/2021,2342371,2169358,0
26/08/2021,2347000,2171499,0
27/08/2021,2349268,2174937,0
28/08/2021,2349268,2174937,0
29/08/2021,2349268,2174937,0
30/08/2021,2349268,2174937,0
30/08/2021,2352754,2180336,0
01/09/2021,2352754,2180336,0
02/09/2021,2355999,2183656,0
03/09/2021,2358138,2186704,0
04/09/2021,2358138,2186704,0
05/09/2021,2358138,2186704,0
06/09/2021,2361787,2191445,0
07/09/2021,2362580,2192341,0
08/09/2021,2363623,2194075,0
09/09/2021,2364393,2195417,0
10/09/2021,2365263,2196957,0
11/09/2021,2365263,2196957,0
12/09/2021,2365263,2196957,0
13/09/2021,2367402,2201389,0
14/09/2021,2367402,2201389,0
15/09/2021,2368524,2203362,0
16/09/2021,2369721,2205101,0
17/09/2021,2371337,2206377,0
18/09/2021,2371337,2206377,0
19/09/2021,2371337,2206377,0
20/09/2021,2371337,2209568,0
21/09/2021,2374984,2211226,0
22/09/2021,2374984,2212397,0
23/09/2021,2374984,2213459,0
24/09/2021,2374984,2220762,0
25/09/2021,2374984,2220762,0
26/09/2021,2374984,2220762,0
27/09/2021,2374984,2220762,0
28/09/2021,2375494,2221612,0
29/09/2021,2375943,2222202,0
30/09/2021,2376313,2222830,0
01/10/2021,2376708,2223545,0
02/10/2021,2376708,2223545,0
03/10/2021,2376708,2223545,0
04/10/2021,2376708,2223545,0
05/10/2021,2385134,2226140,0
06/10/2021,2385622,2226708,0
07/10/2021,2387746,2227522,0
08/10/2021,2387746,2227522,0
09/10/2021,2387746,2227522,0
10/10/2021,2389159,2228122,0
11/10/2021,2400694,2229956,0
12/10/2021,2401771,2230674,0
13/10/2021,2403211,2231804,0
14/10/2021,2404237,2232967,0
15/10/2021,2405335,2233773,0
16/10/2021,2405335,2233773,0
17/10/2021,2405335,2233773,0
18/10/2021,2416793,2235723,0
19/10/2021,2418115,2236392,0
20/10/2021,2419276,2237199,0
21/10/2021,2420558,2238258,0
22/10/2021,2421700,2238258,0
23/10/2021,2421700,2238258,0
24/10/2021,2421700,2238258,0
25/10/2021,2421700,2238258,0
26/10/2021,2432956,2240960,0
27/10/2021,2435396,2241637,375765
28/10/2021,2437095,2242337,389621
29/10/2021,2438707,2242868,403547
30/10/2021,2438707,2242868,403547
31/10/2021,2438707,2242868,403547
01/11/2021,2445438,2244276,432716
02/11/2021,2446430,2244886,446128
03/11/2021,2447484,2245579,462132
04/11/2021,2448204,2246341,476545
05/11/2021,2448879,2246996,492433
06/11/2021,2448879,2246996,492433
07/11/2021,2448879,2246996,492433
08/11/2021,2452485,2248786,527769
09/11/2021,2453403,2249300,540272
10/11/2021,2454261,2249934,555322
11/11/2021,2455003,2250655,571198
12/11/2021,2455557,2251326,587407
13/11/2021,2455557,2251326,587407
14/11/2021,2455557,2251326,587407
15/11/2021,2458695,2253134,626012
16/11/2021,2459583,2253495,637169
17/11/2021,2460549,2254184,653562
18/11/2021,2461038,2254782,668109
19/11/2021,2461876,2255461,685249
20/11/2021,2461876,2255461,685249
21/11/2021,2461876,2255461,685249
22/11/2021,2464221,2257689,725181
23/11/2021,2464579,2258309,736935
24/11/2021,2465183,2259175,751460
25/11/2021,2465562,2260038,765875
26/11/2021,2465943,2260662,781025
27/11/2021,2465943,2260662,781025
28/11/2021,2465943,2260662,781025
29/11/2021,2468335,2263540,825474
30/11/2021,2468734,2264474,840539
01/12/2021,2469217,2265776,857502
02/12/2021,2469805,2266994,874483
03/12/2021,2470233,2267834,892287
04/12/2021,2470233,2267834,892287
05/12/2021,2470233,2267834,892287
06/12/2021,2472737,2272339,940915
07/12/2021,2473150,2273156,958426
08/12/2021,2473583,2274197,977675
09/12/2021,2474162,2275434,997844
10/12/2021,2474675,2276428,1018630
11/12/2021,2474675,2276428,1018630
12/12/2021,2474675,2276428,1018630
13/12/2021,2477148,2281161,1074581
14/12/2021,2477721,2282420,1101053
15/12/2021,2478300,2283371,1132700
16/12/2021,2479007,2283371,1163593
17/12/2021,2479789,2285976,1197368
18/12/2021,2479789,2285976,1197368
19/12/2021,2479789,2285976,1197368
20/12/2021,2482756,2289735,1311804
21/12/2021,2482756,2289735,1311804
22/12/2021,2484739,2292930,1406629
23/12/2021,2485837,2294701,1452728
24/12/2021,2486737,2296242,1490668
25/12/2021,2486737,2296242,1490668
26/12/2021,2486737,2296242,1490668
27/12/2021,2486737,2296242,1490668
28/12/2021,2486737,2296242,1490668
29/12/2021,2488374,2300054,1559687
30/12/2021,2489359,2301312,1594972
31/12/2021,2490223,2302282,1626146
01/01/2022,2490223,2302282,1626146
02/01/2022,2490223,2302282,1626146
03/01/2022,2490223,2302282,1626146
04/01/2022,2491285,2304792,1648826
05/01/2022,2492440,2307957,1667192
06/01/2022,2493502,2311284,1682525
07/01/2022,2494287,2314745,1695590
08/01/2022,2494287,2314745,1695590
09/01/2022,2494287,2314745,1695590
10/01/2022,2496882,2326390,1729180
11/01/2022,2497658,2328295,1740099
12/01/2022,2497658,2328295,1740099
13/01/2022,2499123,2332336,1758311
14/01/2022,2499752,2334096,1765080
15/01/2022,2499752,2334096,1765080
16/01/2022,2499752,2334096,1765080
17/01/2022,2499752,2334096,1765080
18/01/2022,2502295,2345081,1787636
19/01/2022,2502979,2346551,1792022
